Company_Name,Company_Rating,Company_Review,Company_Type,Company_Head_Quarter,Company_Old,Company_Employees
Chili's Grill & ...,4.3,(83 Reviews),Dallas + 12 more,48 years old,11-50 Employees (India),
Tata Lockheed Ma...,4.1,(83 Reviews),Private,Bethesda + 2 more,111 years old,11-50 Employees (India)
AB Mauri India,4.1,(83 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 15 more",63 years old,201-500 Employees (India)
Stanadyne India,3.8,(83 Reviews),Private,Windsor + 2 more,147 years old,201-500 Employees (India)
MEDICO Healthcar...,3.9,(83 Reviews),Columbia + 1 more,7 years old,51-200 Employees (India),
Vserve Ebusiness...,4.5,(83 Reviews),New York + 7 more,19 years old,201-500 Employees (India),
Excelus Learning...,3.8,(83 Reviews),Private,Bengaluru + 32 more,16 years old,501-1k Employees (Global)
R.k.industries,3.7,(83 Reviews),Public,New Delhi + 21 more,1k-5k Employees (India),
Livedigital Mark...,3.2,(83 Reviews),Private,Noida + 5 more,10 years old,11-50 Employees (Global)
G10X,4.7,(83 Reviews),Private,"Singapore,Telangana + 2 more",5 years old,201-500 Employees (India)
Teqtous Inc,5.0,(83 Reviews),Bengaluru/Bangalore + 1 more,11-50 Employees (India),,
Gleneagles Globa...,4.2,(83 Reviews),Hyderabad + 5 more,24 years old,201-500 Employees (India),
Ideas2IT Technol...,4.4,(83 Reviews),Private,"Chennai,Tamil Nadu + 3 more",14 years old,201-500 Employees (India)
Jayanita Exports,2.8,(91 Reviews),Private,Greater Noida + 3 more,45 years old,201-500 Employees (India)
DNV GL,4.3,(82 Reviews),"Høvik,Oslo + 10 more",159 years old,1k-5k Employees (India),
Clarion Technolo...,3.7,(82 Reviews),Private,"Pune,Maharashtra + 3 more",23 years old,201-500 Employees (India)
Optiemus Electro...,3.7,(82 Reviews),Noida + 3 more,7 years old,1k-5k Employees (India),
PAVIT CERAMICS (...,3.3,(82 Reviews),Private,Ahmedabad + 17 more,23 years old,501-1k Employees (India)
Robinhood Insura...,4.0,(82 Reviews),Private,"Mumbai,Maharashtra + 12 more",15 years old,51-200 Employees (India)
Kuantum Papers,4.0,(82 Reviews),Public,"Chandigarh,Chandigarh + 1 more",26 years old,1k-5k Employees (India)
Ezeego One Trave...,3.7,(82 Reviews),"Mumbai,Maharashtra + 6 more",17 years old,201-500 Employees (India),
Shaze Luxury Ret...,3.0,(82 Reviews),Private,"Mumbai,Maharashtra + 10 more",13 years old,51-200 Employees (India)
YES,4.2,(82 Reviews),Mumbai + 35 more,10k+ Employees (Global),,
Integrated Enter...,3.8,(82 Reviews),Private,Chennai + 20 more,49 years old,1k-5k Employees (India)
Inchcape Shippin...,3.5,(82 Reviews),Private,London + 8 more,176 years old,201-500 Employees (India)
Born Commerce,4.0,(82 Reviews),"New York,New York + 4 more",12 years old,1k-5k Employees (India),
Hipower Support ...,3.2,(82 Reviews),Private,Bengaluru,9 years old,1k-5k Employees (Global)
Mehin,3.9,(82 Reviews),New Delhi + 30 more,201-500 Employees (India),,
Birla Cellulose,3.8,(82 Reviews),Surat + 9 more,201-500 Employees (India),,
Voith,3.7,(82 Reviews),Private,Heidenheim + 9 more,156 years old,201-500 Employees (India)
O2 Spa,3.2,(82 Reviews),Private,"Hyderabad,Telangana + 14 more",16 years old,501-1k Employees (India)
GlobalHunt,3.4,(82 Reviews),Private,New Delhi + 10 more,21 years old,51-200 Employees (India)
TSR Darashaw,3.2,(82 Reviews),Private,"Mumbai,Maharashtra + 6 more",22 years old,51-200 Employees (India)
Paushak,3.4,(82 Reviews),Public,"Vadodara/Baroda,Gujarat + 2 more",51 years old,51-200 Employees (India)
Tupperware,4.1,(82 Reviews),Private,Orlando + 14 more,77 years old,501-1k Employees (India)
IND-SPHINX PRECI...,3.4,(82 Reviews),Parwanoo,36 years old,51-200 Employees (India),
AARGEE STAFFING ...,3.7,(82 Reviews),Private,Chennai + 11 more,21 years old,1k-5k Employees (Global)
Strata Geosystem...,4.4,(82 Reviews),Private,Mumbai + 8 more,19 years old,201-500 Employees (India)
Calpion Software...,3.9,(82 Reviews),Private,"Dallas,Texas + 2 more",19 years old,201-500 Employees (India)
Naari Pharma,3.3,(82 Reviews),LLP,"Bangalore/Bengaluru,Karnataka + 7 more",16 years old,11-50 Employees (India)
AGIO Pharmaceuti...,2.6,(82 Reviews),Public,Massachusetts + 6 more,32 years old,201-500 Employees (India)
Modern Business ...,3.7,(82 Reviews),Private,Ahmedabad + 37 more,19 years old,5k-10k Employees (India)
MS Education Aca...,3.6,(82 Reviews),Private,Hyderabad + 17 more,32 years old,51-200 Employees (India)
Walking Tree,3.4,(82 Reviews),Private,Hyderabad + 5 more,15 years old,201-500 Employees (India)
Chirayu Medical ...,4.1,(82 Reviews),Bhopal + 4 more,12 years old,201-500 Employees (India),
Mansukh Securiti...,3.1,(82 Reviews),Private,New Delhi + 7 more,35 years old,51-200 Employees (India)
Salzer Electroni...,3.5,(82 Reviews),Public,Coimbatore + 4 more,38 years old,201-500 Employees (India)
ValueFirst Digit...,4.2,(82 Reviews),Private,"Gurgaon,Haryana + 3 more",20 years old,201-500 Employees (India)
Reliance Broadca...,3.9,(82 Reviews),Public,"Mumbai,Maharashtra + 26 more",18 years old,501-1k Employees (India)
SAS,4.2,(82 Reviews),Private,"Cary,North Carolina + 13 more",47 years old,201-500 Employees (India)
RAKBANK,3.7,(82 Reviews),Public,"Ras Al Khaimah,Ras Al Khaimah + 4 more",47 years old,1k-5k Employees (Global)
Tafe Access,4.2,(82 Reviews),Private,Chennai + 9 more,63 years old,1k-5k Employees (India)
Rds Project,3.9,(82 Reviews),Private,New Delhi + 13 more,31 years old,201-500 Employees (India)
Brij Gopal Const...,3.7,(82 Reviews),Private,New Delhi + 14 more,24 years old,1k-5k Employees (India)
Nippon Life Indi...,4.2,(82 Reviews),Public,Mumbai + 38 more,28 years old,1k-5k Employees (India)
Gujarat Enviro P...,3.6,(82 Reviews),Surat + 11 more,201-500 Employees (India),,
HCG Manavata Can...,4.2,(82 Reviews),"Nashik,Maharashtra",16 years old,51-200 Employees (India),
DIN Engineering ...,3.8,(82 Reviews),Noida + 1 more,24 years old,501-1k Employees (India),
ZunRoof Tech,3.7,(82 Reviews),Private,"Gurgaon,Haryana + 5 more",7 years old,51-200 Employees (India)
SEG Automotive,3.8,(82 Reviews),Stuttgart + 5 more,5 years old,201-500 Employees (India),
Dhatsol IT Solut...,3.6,(82 Reviews),51-200 Employees (India),,,
Ronch Polymers,3.3,(82 Reviews),Mumbai + 4 more,28 years old,51-200 Employees (India),
Cyntexa,4.9,(82 Reviews),Private,"San Francisco,California",5 years old,201-500 Employees (India)
Vertex Global Se...,4.3,(82 Reviews),"Gurugram,Haryana",51-200 Employees (India),,
Foodlink F&B Hol...,4.3,(82 Reviews),Sole Proprietorship,"Mumbai,Maharashtra + 8 more",20 years old,501-1k Employees (India)
iNeuron.ai,4.3,(82 Reviews),Bengaluru/Bangalore + 1 more,51-200 Employees (India),,
Sampark Logistic...,3.5,(82 Reviews),Private,"Faridabad,Haryana + 13 more",10 years old,201-500 Employees (India)
Coldex Logistics,3.5,(81 Reviews),Private,"Gurgaon/Gurugram,Haryana + 12 more",18 years old,51-200 Employees (India)
Birla Precision ...,3.8,(81 Reviews),Public,Mumbai + 10 more,86 years old,201-500 Employees (India)
Eastern Coalfiel...,3.9,(81 Reviews),West Bengal + 7 more,48 years old,50k-1 Lakh Employees (Global),
Willowood Crop S...,4.5,(81 Reviews),Private,Kolkata + 25 more,11 years old,501-1k Employees (India)
Soothe Healthcar...,3.8,(81 Reviews),Private,"Noida,Uttar Pradesh + 18 more",11 years old,201-500 Employees (India)
Radiant Enterpri...,4.3,(81 Reviews),Private,Pune + 31 more,21 years old,11-50 Employees (India)
Newt Global,4.0,(81 Reviews),Private,"Irving,Texas + 6 more",19 years old,51-200 Employees (India)
Pioneer e Soluti...,4.0,(81 Reviews),Private,"New Delhi,Delhi + 25 more",11 years old,11-50 Employees (India)
Sunbeam School,4.4,(81 Reviews),Varanasi + 13 more,51 years old,10k-50k Employees (India),
Skets Studio,3.8,(81 Reviews),Private,"New Delhi,Delhi + 1 more",18 years old,201-500 Employees (India)
ALL TIME PLASTIC...,3.5,(81 Reviews),Private,"Mumbai,Maharashtra + 5 more",59 years old,51-200 Employees (India)
Falcon Force,4.1,(81 Reviews),Private,Tampa + 2 more,18 years old,51-200 Employees (India)
Computer Technol...,4.1,(81 Reviews),Private,Pune + 36 more,30 years old,51-200 Employees (India)
Toppscholars,3.6,(81 Reviews),Mumbai + 9 more,4 years old,201-500 Employees (India),
Sri Ramachandra ...,4.4,(81 Reviews),Private,"Chennai,Tamil Nadu + 5 more",33 years old,201-500 Employees (India)
AO SMITH INDIA W...,4.1,(81 Reviews),Private,"Milwaukee,Wisconsin + 16 more",17 years old,201-500 Employees (India)
Finolex Plasson ...,4.2,(81 Reviews),Private,Pune + 30 more,31 years old,501-1k Employees (India)
Ocean Sparkle,4.4,(81 Reviews),Hyderabad + 15 more,28 years old,1k-5k Employees (India),
RentoMojo,3.6,(81 Reviews),Private,Bangalore + 10 more,9 years old,201-500 Employees (India)
ABV Rock Group,4.3,(81 Reviews),Private,Riyadh + 8 more,49 years old,1k-5k Employees (Global)
Bentley Systems,4.1,(81 Reviews),Private,"Exton,Pennsylvania + 4 more",18 years old,501-1k Employees (India)
Ozonegroup,4.1,(81 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 7 more",20 years old,501-1k Employees (India)
DiTech Process S...,3.0,(81 Reviews),Private,"Mumbai,Maharashtra + 7 more",15 years old,51-200 Employees (India)
UNI Klinger,4.0,(81 Reviews),Public,Pune + 8 more,40 years old,51-200 Employees (India)
National Steel &...,3.6,(81 Reviews),Private,Indore + 9 more,38 years old,201-500 Employees (India)
TetraSoft,3.5,(81 Reviews),Private,Chesterfield + 1 more,26 years old,501-1k Employees (India)
Petroleum Develo...,4.6,(81 Reviews),Private,Muscat + 3 more,86 years old,5k-10k Employees (India)
Numero Uno Cloth...,3.8,(81 Reviews),Private,Gurugram + 20 more,36 years old,501-1k Employees (India)
JSW Ispat Steel,4.3,(81 Reviews),Public,"Nagpur,Maharashtra + 13 more",39 years old,501-1k Employees (India)
Frontier Busines...,3.7,(81 Reviews),Private,Bangalore + 9 more,29 years old,501-1k Employees (India)
Intersoft Data L...,3.8,(81 Reviews),Private,Columbia + 2 more,20 years old,501-1k Employees (India)
United Industrie...,3.9,(81 Reviews),Public,Chennai + 7 more,38 years old,
Elevate Services,3.6,(81 Reviews),Private,"Los Angeles,California + 2 more",12 years old,501-1k Employees (India)
Ardex Endura,3.9,(81 Reviews),Private,Bengaluru + 28 more,74 years old,201-500 Employees (India)
SIPL,3.8,(81 Reviews),Private,"Ghaziabad,Uttar Pradesh + 29 more",40 years old,501-1k Employees (Global)
Forever New,4.2,(81 Reviews),Private,Melbourne + 20 more,17 years old,201-500 Employees (India)
Tatsuno India,3.8,(81 Reviews),Private,Mumbai + 10 more,17 years old,51-200 Employees (India)
Qtech Software,4.4,(81 Reviews),Private,"Mumbai,Maharashtra + 1 more",22 years old,51-200 Employees (India)
CLP India,4.1,(81 Reviews),Private,"Mumbai,Maharashtra + 9 more",21 years old,201-500 Employees (India)
Enser Communicat...,3.4,(81 Reviews),Private,Navi Mumbai + 7 more,15 years old,201-500 Employees (India)
Vandana Global,3.9,(81 Reviews),Private,"Raipur,Chhattisgarh",25 years old,1k-5k Employees (India)
Icomm Tele,3.6,(81 Reviews),Private,Hyderabad + 10 more,34 years old,1k-5k Employees (India)
Sicagen,3.8,(81 Reviews),Public,"Chennai,Tamil Nadu + 21 more",19 years old,501-1k Employees (India)
Rajagiri Hospita...,4.6,(81 Reviews),Kochi + 2 more,9 years old,201-500 Employees (India),
KDDL,3.9,(81 Reviews),Public,"Chandigarh,Chandigarh + 5 more",42 years old,501-1k Employees (India)
HyFun Foods,4.4,(81 Reviews),Private,Ahmedabad + 8 more,61 years old,51-200 Employees (India)
Ultimate Flexipa...,3.9,(81 Reviews),Public,Noida + 7 more,36 years old,51-200 Employees (India)
A.t.e. Enterpris...,4.2,(81 Reviews),"Mumbai,Maharashtra + 12 more",84 years old,1k-5k Employees (India),
Ggs Engineering ...,3.5,(81 Reviews),Secunderabad + 3 more,10 years old,501-1k Employees (India),
Zones Corporate ...,3.6,(81 Reviews),Auburn + 4 more,15 years old,51-200 Employees (India),
Kolors Healthcar...,3.8,(81 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 15 more",19 years old,51-200 Employees (India)
Mercurius Adviso...,4.3,(81 Reviews),Private,Delhi,51-200 Employees (India),
Home-revise Educ...,3.3,(81 Reviews),Private,"Thane,Maharashtra + 13 more",21 years old,201-500 Employees (India)
LS Automotive In...,3.8,(81 Reviews),"Chennai,Tamil Nadu + 2 more",17 years old,1k-5k Employees (India),
DCM Engineering,3.9,(81 Reviews),Private,New Delhi + 2 more,33 years old,1k-5k Employees (India)
Moreish Food,2.7,(81 Reviews),Private,Ranchi + 12 more,34 years old,51-200 Employees (India)
Exclusífe Techno...,2.6,(81 Reviews),Private,"Noida,Uttar Pradesh + 10 more",10 years old,11-50 Employees (India)
Dr. Willmar Schw...,4.2,(81 Reviews),Private,Karlsruhe + 12 more,157 years old,201-500 Employees (India)
Trane Technologi...,4.4,(81 Reviews),"Davidson,North Carolina + 7 more",152 years old,1k-5k Employees (India),
IFAS Edutech Pri...,4.3,(81 Reviews),Private,"Pune,Maharashtra",21 years old,201-500 Employees (India)
Dentsu Aegis Net...,3.5,(131 Reviews),Private,"London,England + 9 more",34 years old,1k-5k Employees (India)
Vinove Software ...,3.6,(121 Reviews),Private,"Gurgaon/Gurugram,Haryana + 1 more",19 years old,201-500 Employees (India)
Veolia,3.9,(83 Reviews),Private,"Noida,Uttar Pradesh + 20 more",23 years old,51-200 Employees (India)
Intelizign Engin...,4.2,(80 Reviews),Private,"Chennai,Tamil Nadu + 3 more",17 years old,501-1k Employees (India)
Tata Realty and ...,4.0,(80 Reviews),Public,Mumbai + 18 more,16 years old,501-1k Employees (India)
Krishi Rasayan E...,4.0,(80 Reviews),New Delhi + 20 more,28 years old,201-500 Employees (India),
Shree Technocrat...,3.5,(80 Reviews),New Delhi + 13 more,17 years old,,
Metal Power Anal...,3.7,(80 Reviews),Private,"Mumbai,Maharashtra + 15 more",36 years old,51-200 Employees (India)
Expedien eSoluti...,3.8,(80 Reviews),Public,"Noida,Uttar Pradesh + 7 more",20 years old,51-200 Employees (India)
Sri Balaji Actio...,4.0,(80 Reviews),New Delhi,18 years old,201-500 Employees (India),
Velammal Educati...,3.6,(80 Reviews),Chennai + 7 more,37 years old,10k-50k Employees (India),
Isolux Corsan,3.9,(80 Reviews),Private,Madrid + 16 more,95 years old,501-1k Employees (India)
Bhashyam Educati...,4.2,(80 Reviews),Private,"Guntur,Andhra Pradesh + 18 more",25 years old,201-500 Employees (India)
Lanarsy Infra,2.7,(80 Reviews),Private,Hyderabad + 8 more,20 years old,201-500 Employees (India)
Rustomjee Group,4.2,(80 Reviews),Private,"Mumbai,Maharashtra + 4 more",27 years old,501-1k Employees (India)
Kapston Faciliti...,3.5,(80 Reviews),Public,Hyderabad + 15 more,14 years old,501-1k Employees (India)
CMS Securitas,3.4,(80 Reviews),Mumbai + 30 more,14 years old,1 Lakh+ Employees (India),
Casepoint,4.0,(80 Reviews),Private,"Tysons,,Virginia",15 years old,501-1k Employees (India)
FNF India,4.1,(80 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",16 years old,1k-5k Employees (India)
JPM INDUSTRIES,3.6,(80 Reviews),Private,Gurgaon + 8 more,64 years old,1k-5k Employees (India)
NATIONAL SKILL ...,3.7,(80 Reviews),New Delhi + 22 more,15 years old,51-200 Employees (India),
Girnarsoft Autom...,3.5,(80 Reviews),Gurgaon/Gurugram + 20 more,1k-5k Employees (India),,
SrinSoft Technol...,3.6,(80 Reviews),Private,New York,18 years old,201-500 Employees (India)
Dollar Industrie...,4.0,(80 Reviews),Public,"Kolkata,West Bengal + 16 more",27 years old,501-1k Employees (India)
Ginger Webs,3.2,(80 Reviews),Private,"Noida,Uttar Pradesh + 9 more",15 years old,201-500 Employees (India)
Inube Software S...,3.2,(80 Reviews),Private,Bangalore + 2 more,13 years old,201-500 Employees (India)
Maven Wave Partn...,4.5,(80 Reviews),Private,"Chicago,Illinois + 3 more",15 years old,51-200 Employees (India)
Progility Techno...,3.4,(80 Reviews),Mumbai + 15 more,11 years old,51-200 Employees (India),
Beckman Coulter,3.7,(80 Reviews),Private,"Brea,California + 9 more",88 years old,201-500 Employees (India)
PathPartner Tech...,4.2,(80 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",17 years old,201-500 Employees (India)
Adfactors PR,3.8,(80 Reviews),Private,Mumbai + 6 more,26 years old,1k-5k Employees (India)
Zacks Research,3.4,(80 Reviews),Private,Chicago,45 years old,201-500 Employees (India)
Rajapushpa Prope...,3.7,(80 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",17 years old,201-500 Employees (India)
String Real Esta...,3.6,(80 Reviews),Tampa + 6 more,19 years old,201-500 Employees (India),
Akshara Enterpri...,3.8,(80 Reviews),Hyderabad + 14 more,15 years old,51-200 Employees (India),
GSPL,4.0,(80 Reviews),Public,Gandhinagar + 22 more,44 years old,1k-5k Employees (India)
Meditab Software,3.0,(80 Reviews),Private,"Ahmedabad,Gujarat + 1 more",18 years old,1k-5k Employees (India)
Indiana Gratings,3.9,(80 Reviews),Private,"Mumbai,Maharashtra + 5 more",53 years old,501-1k Employees (India)
Tamilnad Mercant...,3.1,(80 Reviews),Private,"Chennai,Tamil Nadu + 25 more",102 years old,1k-5k Employees (India)
Gillette,4.5,(80 Reviews),Public,"Rehovot,Rehovot + 14 more",39 years old,1k-5k Employees (India)
Same Deutz-fahr,3.5,(80 Reviews),Private,Treviglio + 6 more,96 years old,501-1k Employees (India)
Rtech Group,2.9,(80 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",16 years old,201-500 Employees (India)
Taj Lands End Mu...,4.1,(80 Reviews),Mumbai + 2 more,44 years old,501-1k Employees (India),
Godrej Tyson Foo...,4.4,(80 Reviews),Public,Mumbai + 16 more,15 years old,201-500 Employees (India)
Deccan iServices...,3.5,(80 Reviews),Chennai + 5 more,201-500 Employees (India),,
Aqualite India,4.0,(80 Reviews),"Delhi/NCR,New Delhi + 5 more",15 years old,1k-5k Employees (India),
Geltec,3.2,(80 Reviews),Private,Mumbai + 4 more,21 years old,201-500 Employees (India)
Caliber Technolo...,3.9,(80 Reviews),Private,"Pittsburgh,Pennsylvania + 2 more",22 years old,501-1k Employees (India)
Astute Corporate...,3.2,(80 Reviews),Private,"Pune,Maharashtra + 14 more",18 years old,1k-5k Employees (Global)
Avon Beauty Prod...,3.9,(80 Reviews),Private,Northampton + 14 more,137 years old,501-1k Employees (India)
Northcorp Softwa...,4.5,(80 Reviews),Private,"Gurgaon/Gurugram,Haryana + 5 more",8 years old,51-200 Employees (India)
Meinhardt Group,3.4,(80 Reviews),Private,"Bukit Merah, + 20 more",26 years old,201-500 Employees (India)
Lomos Archilabs,4.8,(80 Reviews),Bengaluru/Bangalore + 3 more,51-200 Employees (India),,
Oda Class,3.3,(80 Reviews),"Bengaluru/Bangalore,Karnataka + 4 more",6 years old,1k-5k Employees (India),
Archwell Operati...,3.5,(80 Reviews),"Deerfield Beach,Florida + 1 more",51-200 Employees (India),,
ANANDA GROUP,4.2,(1.3k Reviews),Private,Bhimavaram + 19 more,93 years old,
SoCtronics Techn...,3.3,(79 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",23 years old,501-1k Employees (India)
Abu Dhabi Oil Re...,4.4,(79 Reviews),Abu Dhabi + 2 more,,,
Bss Microfinance,4.1,(79 Reviews),Bengaluru + 31 more,24 years old,51-200 Employees (India),
Brihanmumbai Ele...,4.3,(79 Reviews),Private,Mumbai,150 years old,51-200 Employees (India)
Qd-sbg Construct...,4.6,(79 Reviews),Sole proprietorship,Doha + 2 more,13 years old,51-200 Employees (India)
Unison Pharmaceu...,4.2,(79 Reviews),Ahmedabad + 3 more,42 years old,501-1k Employees (India),
Everest Blowers,4.0,(79 Reviews),Private,New Delhi + 3 more,43 years old,201-500 Employees (India)
Propel Industrie...,3.5,(79 Reviews),Private,"Coimbatore,Tamil Nadu + 5 more",14 years old,201-500 Employees (India)
Dhanlaxmi Bank,4.0,(79 Reviews),Public,"Thrissur/Trichur,Kerala + 23 more",96 years old,1k-5k Employees (India)
Breach Candy Hos...,4.6,(79 Reviews),Mumbai + 3 more,73 years old,201-500 Employees (India),
Eldeco Infrastru...,4.4,(79 Reviews),Private,"Delhi/NCR,New Delhi + 7 more",48 years old,201-500 Employees (Global)
Eurolife Healthc...,3.4,(79 Reviews),Private,"Mumbai,Maharashtra + 8 more",22 years old,51-200 Employees (India)
Gsp Power Projec...,4.1,(79 Reviews),Private,New Delhi + 27 more,28 years old,51-200 Employees (India)
Augustus Healthc...,3.8,(79 Reviews),LLP,Harwood Heights,24 years old,501-1k Employees (Global)
Student Life,3.8,(79 Reviews),"Kolkata,West Bengal + 21 more",5 years old,1 Lakh+ Employees (India),
Vaidik Eduservic...,3.1,(79 Reviews),Noida + 5 more,201-500 Employees (India),,
L&T Minerals & M...,4.2,(79 Reviews),Kolkata + 8 more,1k-5k Employees (India),,
Infiiloom,4.2,(79 Reviews),Pune + 9 more,51-200 Employees (India),,
GP Strategies,3.9,(79 Reviews),Private,"Columbia,Maryland + 2 more",57 years old,201-500 Employees (India)
Express KCS,4.1,(79 Reviews),Private,Milford + 3 more,19 years old,501-1k Employees (India)
Firepro Systems,4.0,(79 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",31 years old,1k-5k Employees (India)
Hughes Communica...,3.7,(79 Reviews),Private,"Gurgaon/Gurugram,Haryana + 12 more",30 years old,501-1k Employees (India)
IIT Kharagpur,4.2,(79 Reviews),Private,Kharagpur + 6 more,72 years old,1k-5k Employees (Global)
OptiSol Business...,4.5,(79 Reviews),Private,"Chennai,Tamil Nadu + 2 more",17 years old,201-500 Employees (India)
Appiness Interac...,4.5,(79 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",12 years old,51-200 Employees (India)
Rio Tinto,3.9,(79 Reviews),Private,London + 4 more,150 years old,201-500 Employees (India)
Stratosphere IT ...,4.0,(79 Reviews),Private,"Noida,Uttar Pradesh + 10 more",11 years old,51-200 Employees (India)
GTN Engineering,4.1,(79 Reviews),Public,Tirupur + 9 more,33 years old,201-500 Employees (India)
SPEC INDIA,4.7,(79 Reviews),Private,"Ahmedabad,Gujarat + 1 more",36 years old,201-500 Employees (India)
CBSE,4.0,(79 Reviews),Private,Delhi + 42 more,5k-10k Employees (Global),
Object Technolog...,3.6,(79 Reviews),Private,"Overland Park,Kansas + 5 more",13 years old,201-500 Employees (India)
MDeverywhere Ind...,3.2,(79 Reviews),Private,Noida,28 years old,201-500 Employees (India)
Alchemist Hospit...,4.6,(79 Reviews),Private,"Panchkula,Haryana + 6 more",29 years old,51-200 Employees (India)
Siemens Building...,4.0,(79 Reviews),Cleveland + 12 more,,,
Rotex,3.5,(79 Reviews),Public,Mumbai + 7 more,56 years old,201-500 Employees (India)
Dachser,3.8,(79 Reviews),Kempten + 15 more,29 years old,201-500 Employees (India),
MKU,3.0,(79 Reviews),Private,"Kanpur,Uttar Pradesh + 7 more",38 years old,51-200 Employees (India)
Saviance Technol...,4.5,(79 Reviews),Private,"Metuchen,New Jersey + 3 more",24 years old,51-200 Employees (India)
Omega Elevators,3.7,(79 Reviews),Private,"Ahmedabad,Gujarat + 18 more",38 years old,1k-5k Employees (India)
ThinkPalm Techno...,4.2,(79 Reviews),Private,"Kochi/Cochin,Kerala + 2 more",13 years old,201-500 Employees (India)
Metro Shoes,4.4,(79 Reviews),Private,Mumbai + 20 more,76 years old,1k-5k Employees (Global)
BSF,4.3,(79 Reviews),Public,New Delhi + 19 more,58 years old,1-10 Employees (India)
SmartStream Tech...,3.7,(79 Reviews),Private,London + 4 more,23 years old,501-1k Employees (India)
Glen Appliances,4.0,(79 Reviews),Private,"Faridabad,Haryana + 16 more",24 years old,11-50 Employees (India)
Kewal Kiran Clot...,4.0,(79 Reviews),Public,"Mumbai,Maharashtra + 15 more",42 years old,1k-5k Employees (India)
Eben Telecom,3.5,(79 Reviews),Private,Kochi + 3 more,28 years old,501-1k Employees (India)
Ajeet Seeds,4.2,(79 Reviews),Private,Aurangabad + 9 more,37 years old,501-1k Employees (India)
Eskag Pharma,3.2,(79 Reviews),Kolkata + 9 more,46 years old,201-500 Employees (India),
Pm Electro-auto,3.9,(79 Reviews),Private,Mumbai + 6 more,32 years old,51-200 Employees (India)
RED CHIEF,4.0,(79 Reviews),Private,Gurugram + 24 more,26 years old,
Sridevi Tool Eng...,4.0,(79 Reviews),Private,Vasai + 3 more,51 years old,51-200 Employees (India)
Khansaheb Civil ...,4.7,(79 Reviews),Private,Dubai + 6 more,88 years old,1k-5k Employees (India)
Brunel,4.5,(79 Reviews),Private,"Amsterdam,North Holland + 8 more",48 years old,51-200 Employees (India)
VRC Construction...,4.2,(79 Reviews),Private,New Delhi + 16 more,27 years old,501-1k Employees (India)
Vserv Infosystem...,3.4,(79 Reviews),Noida + 16 more,7 years old,501-1k Employees (India),
Fortis Memorial ...,3.8,(79 Reviews),Gurgaon,10 years old,,
Collman Services,3.7,(79 Reviews),Chennai + 11 more,201-500 Employees (India),,
Orient Fashions,4.4,(79 Reviews),Private,New Delhi + 2 more,50 years old,1k-5k Employees (India)
Revv,3.5,(79 Reviews),Private,"Bangalore,Karnataka + 13 more",8 years old,201-500 Employees (India)
Sahyadri Farmers...,3.7,(79 Reviews),Private,Nashik + 4 more,13 years old,501-1k Employees (India)
DCDC Kidney Care,3.4,(79 Reviews),"Delhi,NCT + 20 more",14 years old,201-500 Employees (India),
Tresor Systems,4.1,(79 Reviews),Private,New Delhi + 12 more,14 years old,51-200 Employees (India)
Unschool Learnin...,3.4,(79 Reviews),Private,"Hyderabad,Telangana + 5 more",4 years old,1k-5k Employees (India)
Azentio,3.2,(79 Reviews),Singapore + 10 more,501-1k Employees (India),,
Theorem Incorpor...,3.8,(79 Reviews),Private,"Chatham,New Jersey + 1 more",21 years old,1k-5k Employees (India)
CorroHealth,3.3,(79 Reviews),Hyderabad/Secunderabad + 5 more,1k-5k Employees (India),,
Laminaar Aviatio...,4.0,(79 Reviews),Private,Singapore + 3 more,30 years old,201-500 Employees (India)
Centurion Softwa...,4.5,(79 Reviews),Bengaluru/Bangalore + 2 more,11-50 Employees (India),,
Motherson Sumi W...,3.9,(79 Reviews),Noida + 13 more,,,
Thinksynq Soluti...,3.5,(79 Reviews),Private,"Chennai,Tamil Nadu + 4 more",16 years old,11-50 Employees (India)
Express Roadways,3.7,(79 Reviews),New Delhi + 22 more,30 years old,51-200 Employees (India),
ATS Services,3.8,(79 Reviews),Private,"Faridabad,Haryana + 8 more",23 years old,51-200 Employees (India)
Apollo Telehealt...,4.4,(78 Reviews),Hyderabad/Secunderabad + 17 more,13 years old,51-200 Employees (India),
Airef Engineers,3.9,(78 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",37 years old,1k-5k Employees (India)
Energo Engineeri...,3.9,(78 Reviews),Private,Gurugram + 14 more,36 years old,5k-10k Employees (Global)
Fastway Transmis...,3.9,(78 Reviews),Ludhiana + 17 more,15 years old,201-500 Employees (India),
Exel Rubber,4.3,(78 Reviews),Public,Hyderabad + 2 more,33 years old,51-200 Employees (India)
Kriya It,3.5,(78 Reviews),Private,"Chennai,Tamil Nadu + 4 more",13 years old,1k-5k Employees (India)
